title,vote_average,vote_count
Robin Hood: Prince of Thieves,6.6,909
Jerry Maguire,6.7,913
Ted,6.3,4697
As Good as It Gets,7.2,915
Patch Adams,7.0,832
Anchorman 2: The Legend Continues,6.0,923
Mr. Deeds,5.6,644
Super 8,6.6,2435
Erin Brockovich,7.1,716
How to Lose a Guy in 10 Days,6.3,850
22 Jump Street,7.0,3319
Interview with the Vampire,7.2,1516
Yes Man,6.4,1813
Central Intelligence,6.2,1650
Stepmom,6.9,277
Daddy's Home,5.8,854
Into the Woods,5.6,1652
Inside Man,7.3,1630
Payback,6.7,548
Congo,5.0,213
We Bought a Zoo,6.5,909
Knowing,5.9,1486
Failure to Launch,5.5,399
The Ring Two,5.4,632
"Crazy, Stupid, Love.",7.0,2443
Garfield,5.2,820
Christmas with the Kranks,5.2,193
Moneyball,7.0,1381
Outbreak,6.3,513
Non-Stop,6.8,2268
Race to Witch Mountain,5.5,509
V for Vendetta,7.7,4442
Shanghai Knights,6.0,692
Curious George,6.2,106
Herbie Fully Loaded,5.1,542
Don't Say a Word,6.0,220
Hansel & Gretel: Witch Hunters,5.7,3239
Unfaithful,6.3,276
I Am Number Four,5.9,1567
Syriana,6.3,451
13 Hours: The Secret Soldiers of Benghazi,7.0,938
The Book of Life,7.3,755
Firewall,5.6,267
Absolute Power,6.4,223
G.I. Jane,6.0,395
The Game,7.5,1506
Silent Hill,6.3,1067
The Replacements,6.1,203
American Reunion,6.1,1611
The Negotiator,6.8,582
Into the Storm,5.8,817
Beverly Hills Cop III,5.5,434
Gremlins 2: The New Batch,6.2,652
The Judge,7.2,1417
The Peacemaker,5.8,255
Resident Evil: Apocalypse,6.1,1267
Bridget Jones: The Edge of Reason,6.1,750
Out of Time,6.1,298
On Deadly Ground,4.5,104
The Adventures of Sharkboy and Lavagirl,4.4,269
The Beach,6.3,1233
Raising Helen,5.9,189
Ninja Assassin,6.2,371
For Love of the Game,6.3,88
Striptease,4.4,205
Marmaduke,5.0,149
Hereafter,5.8,510
Murder by Numbers,6.0,268
Assassins,6.0,387
Hannibal Rising,6.0,654
The Story of Us,5.9,75
The Host,6.0,1817
Basic,6.2,286
Blood Work,6.1,206
The International,6.0,368
Escape from L.A.,5.6,373
The Iron Giant,7.6,1436
The Life Aquatic with Steve Zissou,7.1,775
Free State of Jones,6.6,428
The Life of David Gale,7.3,480
Man of the House,5.4,120
Run All Night,6.3,1148
Eastern Promises,7.2,848
Into the Blue,5.8,458
The Messenger: The Story of Joan of Arc,6.2,367
Your Highness,5.2,501
Dream House,5.8,391
Mad City,5.9,81
Baby's Day Out,5.8,274
The Scarlet Letter,5.5,108
Fair Game,6.5,235
Domino,6.0,444
Jade,5.2,44
Gamer,5.6,760
Beautiful Creatures,5.6,984
Death to Smoochy,5.9,132
Zoolander 2,4.7,797
The Big Bounce,5.0,76
What Planet Are You From?,5.4,37
Drive Angry,5.3,600
Street Fighter: The Legend of Chun-Li,3.9,112
The One,5.7,437
The Adventures of Ford Fairlane,6.2,71
The Boat That Rocked,7.2,666
Traffic,6.9,562
Indiana Jones and the Last Crusade,7.6,3152
Anna Karenina,6.5,639
Chappie,6.6,3062
The Bone Collector,6.5,826
Panic Room,6.5,1267
The Tooth Fairy,4.3,13
Three Kings,6.6,692
Child 44,6.1,547
Rat Race,6.0,518
K-PAX,7.1,695
Kate & Leopold,6.0,418
Bedazzled,5.6,512
The Cotton Club,6.6,68
3:10 to Yuma,6.9,1188
Taken 3,6.1,2200
Out of Sight,6.5,333
The Cable Guy,5.7,594
Earth,6.6,9
Dick Tracy,5.9,251
The Thomas Crown Affair,6.6,339
Riding in Cars with Boys,6.5,103
First Blood,7.2,1488
Solaris,7.7,357
Happily N'Ever After,4.6,104
Mary Reilly,5.7,74
My Best Friend's Wedding,6.3,584
America's Sweethearts,5.5,252
Insomnia,6.8,1148
Star Trek: First Contact,7.0,661
Jonah Hex,4.4,420
Courage Under Fire,6.2,232
Liar Liar,6.4,1424
The Infiltrator,6.6,573
Inchon,6.5,2
The Flintstones,5.0,543
Taken 2,6.1,2757
Scary Movie 3,5.8,912
Miss Congeniality,6.1,961
Journey to the Center of the Earth,5.8,1309
The Princess Diaries 2: Royal Engagement,6.0,697
The Pelican Brief,6.3,371
The Client,6.4,278
The Bucket List,7.0,1111
Patriot Games,6.3,433
Monster-in-Law,5.6,406
Prisoners,7.9,3085
Training Day,7.3,1634
Galaxy Quest,6.9,710
Scary Movie 2,5.4,982
The Muppets,6.5,501
Blade,6.5,1905
Coach Carter,7.3,496
Changing Lanes,5.9,299
Anaconda,4.7,610
Coyote Ugly,5.8,575
Love Actually,7.0,1869
A Bug's Life,6.8,2303
From Hell,6.6,741
The Specialist,5.5,313
Tin Cup,5.9,150
"Yours, Mine and Ours",6.2,26
Kicking & Screaming,5.6,176
The Hitchhiker's Guide to the Galaxy,6.6,1315
Fat Albert,4.3,69
Resident Evil: Extinction,6.1,1292
Blended,6.6,1006
Last Holiday,6.4,119
The River Wild,6.1,210
The Indian in the Cupboard,5.9,134
Savages,6.2,766
Cellular,6.1,537
Johnny English,6.0,852
The Ant Bully,5.5,366
Dune,6.5,562
Across the Universe,7.1,410
Revolutionary Road,6.7,796
16 Blocks,6.2,661
Babylon A.D.,5.4,676
The Glimmer Man,4.7,100
Multiplicity,5.5,154
Aliens in the Attic,5.3,244
The Pledge,6.5,215
The Producers,6.1,151
The Phantom,4.7,136
All the Pretty Horses,5.8,60
Nixon,7.1,71
The Ghost Writer,6.7,670
Deep Rising,6.0,154
Miracle at St. Anna,6.3,90
Curse of the Golden Flower,6.6,203
Bangkok Dangerous,5.0,332
Big Trouble,6.3,80
Love in the Time of Cholera,6.4,81
Shadow Conspiracy,4.0,11
Johnny English Reborn,6.0,1007
Foodfight!,2.3,28
Argo,7.1,3423
The Fugitive,7.2,1220
The Bounty Hunter,5.5,858
Sleepers,7.3,715
Rambo: First Blood Part II,6.3,864
The Juror,5.5,89
Pinocchio,6.9,1355
Heaven's Gate,6.4,55
Underworld: Evolution,6.4,1528
Victor Frankenstein,5.6,685
Finding Forrester,7.0,302
28 Days,6.0,208
Unleashed,6.6,518
The Sweetest Thing,5.3,280
The Firm,6.6,501
Charlie St. Cloud,6.8,566
The Mechanic,6.3,1045
21 Jump Street,6.7,4074
Notting Hill,7.0,1262
Chicken Run,6.5,1150
Along Came Polly,5.8,773
Boomerang,5.4,134
The Heat,6.5,1575
Cleopatra,6.7,146
Here Comes the Boom,6.0,593
High Crimes,6.1,184
The Mirror Has Two Faces,6.5,47
The Mothman Prophecies,6.1,305
Brüno,5.4,518
Licence to Kill,5.9,541
Red Riding Hood,5.6,922
15 Minutes,5.7,191
Super Mario Bros.,4.0,232
Lord of War,7.0,1335
Hero,7.2,635
One for the Money,5.3,388
The Interview,6.1,2304
The Warrior's Way,6.3,136
Micmacs,6.8,148
8 Mile,6.8,1626
Why I Did (Not) Eat My Father,5.3,125
A Knight's Tale,6.6,907
The Medallion,5.3,281
The Sixth Sense,7.7,3147
Man on a Ledge,6.2,925
The Big Year,5.6,248
The Karate Kid,6.9,891
American Hustle,6.8,2807
The Proposal,6.7,1804
Double Jeopardy,6.2,278
Back to the Future Part II,7.4,3829
Lucy,6.3,5878
Fifty Shades of Grey,5.2,3254
Spy Kids 3-D: Game Over,4.7,511
A Time to Kill,7.0,509
Cheaper by the Dozen,6.0,699
Lone Survivor,7.4,1526
A League of Their Own,6.7,354
The Conjuring 2,7.0,1949
The Social Network,7.1,3391
He's Just Not That Into You,6.2,959
Scary Movie 4,5.3,750
Scream 3,5.7,736
Back to the Future Part III,7.1,2900
Get Hard,5.9,944
Dracula,7.1,1056
Julie & Julia,6.6,560
42,6.8,787
The Talented Mr. Ripley,7.0,767
Dumb and Dumber To,5.4,1127
Eight Below,6.7,542
The Intern,7.1,1881
Ride Along 2,6.1,555
The Last of the Mohicans,7.1,732
Ray,7.2,467
Sin City,7.2,2691
Vantage Point,6.2,716
"I Love You, Man",6.5,515
Shallow Hal,5.7,731
JFK,7.5,502
Big Momma's House 2,5.4,371
The Mexican,5.8,441
17 Again,6.1,1350
The Other Woman,6.2,1437
The Final Destination,5.4,831
Bridge of Spies,7.2,2583
Behind Enemy Lines,6.0,457
Get Him to the Greek,5.9,612
Shall We Dance?,5.9,297
Small Soldiers,6.2,511
Spawn,5.0,336
The Count of Monte Cristo,7.3,453
The Lincoln Lawyer,7.0,902
Unknown,6.5,1265
The Prestige,8.0,4391
Horrible Bosses 2,6.1,1536
Escape from Planet Earth,5.7,332
Apocalypto,7.3,1221
The Living Daylights,6.2,440
Predators,6.0,1206
Legal Eagles,5.8,51
Secret Window,6.4,972
The Lake House,6.5,670
The Skeleton Key,6.4,573
The Odd Life of Timothy Green,6.5,386
Made of Honor,6.0,394
Jersey Boys,6.8,255
The Rainmaker,6.7,235
Gothika,5.8,629
Amistad,6.8,316
Medicine Man,5.8,114
Aliens vs Predator: Requiem,4.9,740
Ri¢hie Ri¢h,5.4,415
Autumn in New York,5.7,135
Music and Lyrics,6.2,554
Paul,6.5,1789
The Guilt Trip,5.4,284
Scream 4,6.1,902
8MM,6.1,474
The Doors,6.7,275
Sex Tape,5.3,1695
Hanging Up,5.0,40
Final Destination 5,5.9,866
Mickey Blue Eyes,5.3,140
Pay It Forward,7.0,432
Fever Pitch,5.9,182
Drillbit Taylor,5.5,275
A Million Ways to Die in the West,5.8,1468
The Shadow,5.4,138
Extremely Loud & Incredibly Close,6.9,708
Morning Glory,6.1,412
Get Rich or Die Tryin',6.3,186
The Art of War,5.6,135
Rent,6.7,155
Bless the Child,4.9,71
The Out-of-Towners,5.0,45
The Island of Dr. Moreau,4.6,147
The Musketeer,5.2,56
The Other Boleyn Girl,6.4,477
Sweet November,6.4,278
The Reaping,5.4,205
Mean Streets,7.2,345
Renaissance Man,5.9,81
Colombiana,6.5,824
Quest for Camelot,6.9,190
City By The Sea,5.7,92
At First Sight,5.9,48
Torque,4.7,119
City Hall,6.0,67
Showgirls,4.9,256
Marie Antoinette,6.5,642
Kiss of Death,5.7,81
Get Carter,4.8,145
The Impossible,7.0,2025
Ishtar,4.2,28
Fantastic Mr. Fox,7.5,1176
Life or Something Like It,5.7,124
Memoirs of an Invisible Man,5.7,125
Amélie,7.8,3310
New York Minute,5.5,185
Alfie,5.6,248
Big Miracle,6.6,152
The Deep End of the Ocean,5.9,54
FearDotCom,3.2,105
Cirque du Freak: The Vampire's Assistant,5.5,348
Duplex,5.9,482
Soul Men,6.3,47
Raise the Titanic,5.2,21
Universal Soldier: The Return,4.2,135
Pandorum,6.5,774
Impostor,6.1,135
Extreme Ops,5.0,28
Just Visiting,4.8,171
Sunshine,7.0,1182
A Thousand Words,6.0,373
Delgo,5.4,15
The Gunman,5.5,392
Stormbreaker,5.1,213
Disturbia,6.6,1006
Hackers,6.2,398
The Hunting Party,6.6,96
The Hudsucker Proxy,7.1,275
The Warlords,6.3,83
Nomad: The Warrior,4.3,17
Snowpiercer,6.7,2854
A Monster in Paris,6.5,313
The Last Shot,5.9,15
The Crow,7.3,953
Baahubali: The Beginning,7.5,135
The Time Traveler's Wife,6.7,798
Because I Said So,5.8,191
Frankenweenie,6.6,932
Serenity,7.4,1264
Against the Ropes,4.5,32
Superman III,5.3,490
Grudge Match,6.0,433
Red Cliff,7.1,205
Sweet Home Alabama,6.0,394
The Ugly Truth,6.4,972
Sgt. Bilko,5.5,94
Spy Kids 2: The Island of Lost Dreams,5.3,521
Star Trek: Generations,6.4,452
The Grandmaster,6.3,273
Water for Elephants,6.7,850
Dragon Nest: Warriors' Dawn,6.8,19
The Hurricane,7.2,396
Enough,6.2,264
Heartbreakers,5.7,254
Paul Blart: Mall Cop 2,5.0,567
Angel Eyes,5.6,88
Joe Somebody,5.5,40
The Ninth Gate,6.3,756
Extreme Measures,5.7,80
Rock Star,6.0,190
Precious,6.9,417
White Squall,6.3,86
The Thing,7.8,1588
Riddick,6.2,2035
Switchback,5.8,52
Texas Rangers,5.4,19
City of Ember,6.2,605
The Master,7.0,701
Virgin Territory,4.3,75
The Express,7.1,71
The 5th Wave,5.6,1945
Creed,7.3,1915
The Town,7.0,1468
What to Expect When You're Expecting,5.8,594
Burn After Reading,6.5,1222
Nim's Island,5.6,330
Rush,7.7,2277
Magnolia,7.5,825
Cop Out,5.3,511
How to Be Single,5.9,1201
Dolphin Tale,6.7,163
Twilight,5.8,3561
John Q,7.0,594
Blue Streak,6.1,352
We're the Millers,6.8,2972
The Inhabited Island,5.3,23
Breakdown,6.6,198
Never Say Never Again,5.8,338
Hot Tub Time Machine,6.0,894
Dolphin Tale 2,6.7,96
Reindeer Games,5.4,173
A Man Apart,5.8,258
Aloha,5.2,692
Ghosts of Mississippi,6.2,40
Snow Falling on Cedars,6.3,32
The Rite,5.8,556
Gattaca,7.5,1808
Isn't She Great,4.6,14
Space Chimps,5.2,99
Head of State,5.3,71
The Hangover,7.2,6173
Ip Man 3,6.5,379
Austin Powers: The Spy Who Shagged Me,6.2,1011
Batman,7.0,2096
There Be Dragons,5.9,27
Lethal Weapon 3,6.4,811
The Blind Side,7.2,1597
Spy Kids,5.5,867
Horrible Bosses,6.5,2277
True Grit,7.2,1668
The Devil Wears Prada,7.0,3088
Star Trek: The Motion Picture,6.2,530
Identity Thief,5.6,1645
Cape Fear,7.0,675
21,6.5,1375
Trainwreck,5.9,1181
Guess Who,5.5,225
The English Patient,7.0,542
L.A. Confidential,7.7,1310
Sky High,5.8,550
In & Out,6.3,177
Species,5.5,453
A Nightmare on Elm Street,7.2,1180
The Cell,6.0,436
The Man in the Iron Mask,6.3,1018
Secretariat,6.8,103
TMNT,6.0,345
Radio,6.8,141
Friends with Benefits,6.5,2237
Neighbors 2: Sorority Rising,5.6,1462
Saving Mr. Banks,7.3,1226
Malcolm X,7.2,370
This Is 40,5.6,896
Old Dogs,5.2,210
Underworld: Rise of the Lycans,6.2,1428
License to Wed,5.2,253
The Benchwarmers,5.2,242
Must Love Dogs,5.8,140
Donnie Brasco,7.4,1147
Resident Evil,6.4,2065
Poltergeist,7.0,794
The Ladykillers,6.0,415
Max Payne,5.2,613
In Time,6.7,3417
The Back-Up Plan,5.7,458
Something Borrowed,5.9,296
Black Knight,5.1,287
The Bad News Bears,6.9,97
Street Fighter,4.1,325
The Pianist,8.0,1864
The Nativity Story,6.4,35
House of Wax,5.5,677
Closer,6.7,811
J. Edgar,6.0,741
Mirrors,6.0,485
Queen of the Damned,5.4,239
Predator 2,5.9,730
Untraceable,5.9,238
Blast from the Past,6.3,245
Flash Gordon,6.1,233
Jersey Girl,5.8,325
Alex Cross,5.1,300
Midnight in the Garden of Good and Evil,6.3,157
Heist,5.6,318
Nanny McPhee and the Big Bang,6.0,436
Hoffa,6.1,81
The X Files: I Want to Believe,5.5,523
Ella Enchanted,5.9,437
Concussion,7.0,823
Abduction,5.6,961
Valiant,5.2,235
Wonder Boys,6.9,161
Superhero Movie,4.9,379
Broken City,5.7,593
Cursed,5.1,167
Premium Rush,6.2,832
Hot Pursuit,5.4,647
The Four Feathers,6.5,159
Parker,5.7,1455
Wimbledon,6.0,293
Furry Vengeance,4.6,149
Bait,5.3,191
Krull,5.8,129
Lions for Lambs,6.0,216
Flight of the Intruder,5.7,31
Walk Hard: The Dewey Cox Story,6.6,212
The Shipping News,6.4,108
American Outlaws,5.7,55
The Young Victoria,7.0,322
Whiteout,5.3,220
The Tree of Life,6.5,987
Knock Off,4.7,64
Sabotage,5.5,555
The Order,4.8,91
Punisher: War Zone,5.6,294
Zoom,4.9,135
The Walk,6.9,1121
Warriors of Virtue,4.7,9
A Good Year,6.5,357
Radio Flyer,6.6,53
Bound by Honor,7.7,115
Smilla's Sense of Snow,6.6,60
Femme Fatale,6.2,142
Lion of the Desert,7.4,34
The Horseman on the Roof,6.7,25
Ride with the Devil,6.6,49
Biutiful,7.0,291
Bandidas,5.8,307
Black Water Transit,0.0,0
The Maze Runner,7.0,5371
Unfinished Business,5.0,320
The Age of Innocence,7.0,169
The Fountain,6.8,827
Chill Factor,5.3,29
Stolen,5.1,344
Ponyo,7.5,926
The Longest Ride,7.3,1064
The Astronaut's Wife,5.4,254
I Dreamed of Africa,5.3,18
Playing for Keeps,5.4,240
Mandela: Long Walk to Freedom,6.5,224
Reds,7.1,67
A Few Good Men,7.1,877
Exit Wounds,5.3,110
Big Momma's House,5.6,506
Thunder and the House of Magic,6.3,121
The Darkest Hour,4.8,469
Step Up Revolution,6.7,663
Snakes on a Plane,5.1,497
The Watcher,4.9,110
The Punisher,6.1,766
Goal!: The Dream Begins,6.6,238
Safe,6.3,799
Pushing Tin,5.7,116
Return of the Jedi,7.9,4665
Doomsday,5.8,363
The Reader,7.2,813
Wanderlust,5.3,394
Elf,6.4,987
Phenomenon,6.2,323
Snow Dogs,5.3,185
Scrooged,6.7,390
Nacho Libre,5.6,359
Bridesmaids,6.5,1661
This Is the End,6.3,2359
Stigmata,6.0,242
Men of Honor,7.0,544
Takers,6.0,394
The Big Wedding,5.7,414
"Big Mommas: Like Father, Like Son",5.3,313
Source Code,7.1,2699
Alive,6.7,374
The Number 23,6.3,1018
The Young and Prodigious T.S. Spivet,6.7,232
1941,5.6,143
Dreamer: Inspired By a True Story,6.3,67
A History of Violence,6.9,832
Transporter 2,6.2,1061
The Quick and the Dead,6.3,427
Laws of Attraction,5.6,104
Bringing Out the Dead,6.6,225
Repo Men,6.2,620
Dragon Wars: D-War,4.0,104
Bogus,5.4,44
The Incredible Burt Wonderstone,5.3,724
Cats Don't Dance,7.1,24
Cradle Will Rock,7.2,18
The Good German,5.9,86
George and the Dragon,5.0,13
Apocalypse Now,8.0,2055
Going the Distance,6.0,262
Mr. Holland's Opus,6.9,113
Criminal,5.7,557
Out of Africa,7.0,279
Flight,6.5,2415
Moonraker,5.9,541
The Grand Budapest Hotel,8.0,4519
Hearts in Atlantis,6.4,131
Arachnophobia,6.2,433
Frequency,7.0,462
Vacation,6.2,1195
Get Shorty,6.4,302
Chicago,6.9,677
Big Daddy,6.1,875
American Pie 2,6.0,1344
Toy Story,7.7,5269
Speed,6.8,1783
The Vow,7.0,1293
Extraordinary Measures,6.0,89
Remember the Titans,7.4,821
The Hunt for Red October,7.2,957
The Butler,7.2,1101
DodgeBall: A True Underdog Story,6.2,981
The Addams Family,6.7,848
Ace Ventura: When Nature Calls,6.1,1099
The Princess Diaries,6.5,1023
The First Wives Club,6.5,166
Se7en,8.1,5765
District 9,7.3,3382
The SpongeBob SquarePants Movie,6.7,574
Mystic River,7.6,1422
Million Dollar Baby,7.7,2439
Analyze This,6.4,503
The Notebook,7.7,3067
27 Dresses,6.1,978
Hannah Montana: The Movie,6.0,449
Rugrats in Paris: The Movie,6.0,100
The Prince of Tides,5.9,56
Legends of the Fall,7.2,619
Up in the Air,6.7,1205
About Schmidt,6.7,362
Warm Bodies,6.4,2652
Looper,6.6,4697
Down to Earth,4.9,95
Babe,6.0,733
Hope Springs,5.8,284
Forgetting Sarah Marshall,6.4,1172
Four Brothers,6.7,607
Baby Mama,5.8,205
Hope Floats,5.8,81
Bride Wars,5.9,856
Without a Paddle,5.3,214
13 Going on 30,6.3,1204
Midnight in Paris,7.4,1990
The Nut Job,5.5,319
Blow,7.4,1317
Message in a Bottle,5.8,196
Star Trek V: The Final Frontier,5.6,376
Like Mike,5.7,100
The Naked Gun 33⅓: The Final Insult,6.3,521
A View to a Kill,6.0,506
The Curse of the Were-Rabbit,6.8,643
P.S. I Love You,6.9,977
Racing Stripes,5.1,123
Atonement,7.4,1049
Letters to Juliet,6.6,796
Black Rain,6.2,243
The Three Stooges,4.9,140
Corpse Bride,7.2,1894
Glory Road,7.2,144
Sicario,7.2,2416
Southpaw,7.3,2067
Drag Me to Hell,6.2,966
The Age of Adaline,7.4,1990
Secondhand Lions,6.9,260
Step Up 3D,6.6,582
Blue Crush,5.6,159
Stranger Than Fiction,7.1,721
30 Days of Night,6.2,767
The Cabin in the Woods,6.5,2263
Meet the Spartans,3.7,359
Midnight Run,7.2,238
The Running Man,6.4,703
Little Shop of Horrors,6.6,384
Hanna,6.5,1263
Mortal Kombat: Annihilation,3.8,221
Larry Crowne,5.7,359
Carrie,5.8,1463
Take the Lead,6.6,162
Gridiron Gang,6.5,206
What's the Worst That Could Happen?,5.1,66
9,6.6,1262
Side Effects,6.4,1323
The Prince & Me,5.9,278
Winnie the Pooh,6.8,258
Dumb and Dumberer: When Harry Met Lloyd,4.1,210
Bulworth,6.3,66
Get on Up,6.4,158
One True Thing,6.2,27
Virtuosity,5.4,163
My Super Ex-Girlfriend,4.8,442
Deliver Us from Evil,5.9,690
Sanctum,5.8,339
Little Black Book,5.2,112
The Five-Year Engagement,5.7,457
Mr. 3000,5.0,66
The Next Three Days,6.9,905
Ultraviolet,4.8,458
Assault on Precinct 13,6.0,311
The Replacement Killers,6.0,127
Fled,5.2,47
Eight Legged Freaks,5.4,295
Love & Other Drugs,6.6,1233
88 Minutes,5.7,313
North Country,6.8,125
The Whole Ten Yards,5.5,278
Splice,5.5,671
Howard the Duck,5.1,221
Pride and Glory,6.3,240
The Cave,5.1,202
Alex & Emma,5.0,68
Wicker Park,6.7,157
Fright Night,6.0,603
The New World,6.4,330
Wing Commander,4.0,72
In Dreams,5.4,44
Dragonball Evolution,2.9,462
The Last Stand,5.7,1266
Godsend,4.7,114
Chasing Liberty,6.1,152
Hoodwinked Too! Hood VS. Evil,4.8,131
An Unfinished Life,6.7,161
The Imaginarium of Doctor Parnassus,6.3,869
Barney's Version,7.2,129
Runner Runner,5.5,543
Antitrust,5.8,153
Glory,7.4,383
Once Upon a Time in America,8.2,1069
Dead Man Down,5.9,638
The Merchant of Venice,6.7,144
The Good Thief,6.0,31
Supercross,5.4,29
Miss Potter,6.3,141
The Promise,5.0,29
DOA: Dead or Alive,5.0,205
The Assassination of Jesse James by the Coward Robert Ford,7.0,776
1911,5.0,41
Little Nicholas,5.9,306
Wild Card,5.4,656
Machine Gun Preacher,6.4,286
Animals United,5.5,90
Goodbye Bafana,7.0,38
United Passions,3.0,16
Grace of Monaco,5.8,195
Savva. Heart of the Warrior,6.4,7
Ripley's Game,6.6,69
Sausage Party,5.6,2238
Pitch Perfect 2,6.8,1940
Walk the Line,7.3,718
Keeping the Faith,5.9,159
The Borrowers,5.8,135
Frost/Nixon,7.2,328
Confessions of a Dangerous Mind,6.6,275
Serving Sara,5.0,85
The Boss,5.5,431
Cry Freedom,6.9,51
Mumford,6.3,26
Seed of Chucky,4.9,287
The Jacket,6.8,455
Aladdin,7.4,3416
Straight Outta Compton,7.7,1355
Indiana Jones and the Temple of Doom,7.1,2781
The Rugrats Movie,5.7,147
Along Came a Spider,6.1,400
Florence Foster Jenkins,6.6,392
Once Upon a Time in Mexico,6.2,594
Die Hard,7.5,3948
Role Models,6.4,564
The Big Short,7.3,2607
Taking Woodstock,6.2,127
Miracle,7.0,159
Dawn of the Dead,6.8,1016
The Wedding Planner,5.5,427
Space Pirate Captain Harlock,6.5,356
The Royal Tenenbaums,7.4,1286
Identity,7.1,1061
Last Vegas,6.4,799
For Your Eyes Only,6.3,490
Serendipity,6.6,521
Timecop,5.5,282
Zoolander,6.1,1337
Safe Haven,6.9,823
Hocus Pocus,6.4,471
No Reservations,6.1,327
Kick-Ass,7.1,4645
30 Minutes or Less,5.6,531
Dracula 2000,4.6,148
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1,493
Pride & Prejudice,7.7,1358
Blade Runner,7.9,3509
Rob Roy,6.5,148
3 Days to Kill,6.0,883
We Own the Night,6.5,323
Lost Souls,4.5,38
Winged Migration,7.0,49
Just My Luck,5.8,491
"Mystery, Alaska",6.0,69
The Spy Next Door,5.5,345
A Simple Wish,5.5,46
Ghosts of Mars,4.8,296
Our Brand Is Crisis,5.8,195
Pride and Prejudice and Zombies,5.5,640
Kundun,6.8,91
How to Lose Friends & Alienate People,6.2,244
Kick-Ass 2,6.3,2224
Alatriste,5.6,61
Brick Mansions,5.7,615
Octopussy,6.2,527
Knocked Up,6.2,1214
My Sister's Keeper,7.1,598
Welcome Home Roscoe Jenkins,5.7,57
A Passage to India,6.9,67
Notes on a Scandal,6.9,235
Rendition,6.2,205
Star Trek VI: The Undiscovered Country,6.7,413
Divine Secrets of the Ya-Ya Sisterhood,5.6,65
Kiss the Girls,6.2,345
The Blues Brothers,7.5,1065
The Sisterhood of the Traveling Pants 2,6.0,238
Joyful Noise,6.7,33
About a Boy,6.6,607
Lake Placid,5.5,247
Lucky Number Slevin,7.4,1323
The Right Stuff,7.3,235
Anonymous,6.3,288
The NeverEnding Story,7.0,1002
Dark City,7.2,828
The Duchess,6.7,396
Return to Oz,6.7,120
The Newton Boys,5.9,44
Case 39,6.1,563
Suspect Zero,5.5,98
Martian Child,6.8,79
Spy Kids: All the Time in the World,4.4,222
Money Monster,6.5,1068
The 51st State,5.9,173
Flawless,5.9,56
Mindhunters,6.3,333
What Just Happened,5.2,127
The Statement,5.9,23
The Magic Flute,6.9,6
Paul Blart: Mall Cop,5.2,788
Freaky Friday,6.0,879
The 40 Year Old Virgin,6.2,1983
Shakespeare in Love,6.8,796
A Walk Among the Tombstones,6.2,1131
Kindergarten Cop,5.8,628
Pineapple Express,6.6,1148
Ever After: A Cinderella Story,6.8,399
Open Range,7.0,262
Flatliners,6.3,404
A Bridge Too Far,6.9,207
Red Eye,6.2,455
Final Destination 2,5.9,1023
"O Brother, Where Art Thou?",7.3,1112
Legion,5.2,629
Pain & Gain,6.1,1573
In Good Company,5.9,194
Clockstoppers,4.9,89
Silverado,7.1,146
Brothers,6.8,633
Agent Cody Banks 2: Destination London,5.2,144
New Year's Eve,5.7,718
Original Sin,5.8,198
The Raven,6.1,426
Welcome to Mooseport,4.8,54
Highlander: The Final Dimension,4.5,110
Blood and Wine,5.5,34
Snow White: A Tale of Terror,6.0,62
The Curse of the Jade Scorpion,6.5,165
Accidental Love,3.9,95
Flipper,5.3,84
Self/less,6.3,1091
The Constant Gardener,6.8,417
The Passion of the Christ,6.9,864
Mrs. Doubtfire,7.0,1591
Rain Man,7.6,1709
Gran Torino,7.8,3086
W.,6.1,143
Taken,7.2,4369
The Best of Me,7.2,765
The Bodyguard,6.1,661
Schindler's List,8.3,4329
The Help,7.8,1910
The Fifth Estate,5.7,364
Scooby-Doo 2: Monsters Unleashed,5.4,500
Forbidden Kingdom,4.9,71
Freddy vs. Jason,5.8,594
The Face of an Angel,4.7,64
Jimmy Neutron: Boy Genius,5.6,231
Cloverfield,6.4,2251
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,286
The Untouchables,7.6,1384
No Country for Old Men,7.7,3003
Ride Along,6.1,853
Bridget Jones's Diary,6.5,1356
Chocolat,6.8,951
"Legally Blonde 2: Red, White & Blonde",5.1,377
Parental Guidance,5.7,210
No Strings Attached,6.1,1331
Tombstone,7.4,626
Romeo Must Die,6.0,330
The Omen,7.2,476
Final Destination 3,5.8,974
The Lucky One,6.8,946
Bridge to Terabithia,7.0,1113
Finding Neverland,7.2,1223
A Madea Christmas,7.0,35
The Grey,6.4,1451
Hide and Seek,6.1,440
Anchorman: The Legend of Ron Burgundy,6.7,1493
GoodFellas,8.2,3128
Agent Cody Banks,5.0,284
Nanny McPhee,6.4,711
Scarface,8.0,2948
Nothing to Lose,6.3,174
The Last Emperor,7.4,355
Contraband,6.1,770
Money Talks,5.9,87
There Will Be Blood,7.9,1537
The Wild Thornberrys Movie,5.8,44
Rugrats Go Wild,5.6,61
Undercover Brother,5.5,112
The Sisterhood of the Traveling Pants,6.3,386
Kiss of the Dragon,6.4,298
The House Bunny,5.6,529
Beauty Shop,5.4,115
Million Dollar Arm,6.6,259
The Giver,6.4,1798
What a Girl Wants,5.8,368
